filename;width;height;class;xmin;ymin;xmax;ymax
frame9107_jpg.rf.f1522310aabc9f8d379071f287351aee.jpg;640;640;Wheel;267;125;353;438
frame9107_jpg.rf.f1522310aabc9f8d379071f287351aee.jpg;640;640;Shelling;285;347;303;394
frame6545_jpg.rf.f0320838251ec6fc8c2bb1504591675b.jpg;640;640;Wheel;108;303;588;440
frame6545_jpg.rf.f0320838251ec6fc8c2bb1504591675b.jpg;640;640;Cracks-Scratches;222;405;260;417
frame6545_jpg.rf.f0320838251ec6fc8c2bb1504591675b.jpg;640;640;Shelling;492;402;541;431
frame6545_jpg.rf.f0320838251ec6fc8c2bb1504591675b.jpg;640;640;Shelling;377;401;450;433
frame9283_jpg.rf.f195770e6b926ae5297d9e62f05f7f4f.jpg;640;640;Wheel;304;281;509;340
frame7047_jpg.rf.eab932c3531d6ec29383d2032b7aa7ab.jpg;640;640;Wheel;308;140;391;366
frame7047_jpg.rf.eab932c3531d6ec29383d2032b7aa7ab.jpg;640;640;Cracks-Scratches;330;182;368;316
frame2307_jpg.rf.f0a1f21c11d8df473968c1389fa00d0a.jpg;640;640;Wheel;115;265;640;460
frame2307_jpg.rf.f0a1f21c11d8df473968c1389fa00d0a.jpg;640;640;Shelling;509;347;640;414
frame2307_jpg.rf.f0a1f21c11d8df473968c1389fa00d0a.jpg;640;640;Cracks-Scratches;369;391;401;407
frame5991_jpg.rf.ed5ca60526ad2938e2a1419de3b70df0.jpg;640;640;Wheel;121;209;573;376
frame5991_jpg.rf.ed5ca60526ad2938e2a1419de3b70df0.jpg;640;640;Shelling;390;242;559;310
frame5991_jpg.rf.ed5ca60526ad2938e2a1419de3b70df0.jpg;640;640;Cracks-Scratches;241;212;265;220
frame5993_jpg.rf.f168f75f77e62e448a793d1967b54ae0.jpg;640;640;Wheel;298;42;423;533
frame5993_jpg.rf.f168f75f77e62e448a793d1967b54ae0.jpg;640;640;Shelling;365;76;411;252
frame5993_jpg.rf.f168f75f77e62e448a793d1967b54ae0.jpg;640;640;Cracks-Scratches;406;404;414;431
frame7729_jpg.rf.ec0f38108e0b1aae19a9b4ca5ffc7a71.jpg;640;640;Wheel;295;7;427;531
frame7729_jpg.rf.ec0f38108e0b1aae19a9b4ca5ffc7a71.jpg;640;640;Shelling;388;36;423;188
frame7729_jpg.rf.ec0f38108e0b1aae19a9b4ca5ffc7a71.jpg;640;640;Discoloration;381;191;420;344
frame1653_jpg.rf.eb9a04d40e6e2c5df8003062521bf9f0.jpg;640;640;Wheel;295;158;359;511
frame1653_jpg.rf.eb9a04d40e6e2c5df8003062521bf9f0.jpg;640;640;Shelling;297;232;319;285
frame1653_jpg.rf.eb9a04d40e6e2c5df8003062521bf9f0.jpg;640;640;Shelling;301;189;324;231
frame1653_jpg.rf.eb9a04d40e6e2c5df8003062521bf9f0.jpg;640;640;Cracks-Scratches;332;433;339;469
frame7728_jpg.rf.ed84c2c7c701e8eaf6a6f2b679f4fd38.jpg;640;640;Wheel;117;239;595;343
frame7728_jpg.rf.ed84c2c7c701e8eaf6a6f2b679f4fd38.jpg;640;640;Shelling;432;249;574;289
frame7728_jpg.rf.ed84c2c7c701e8eaf6a6f2b679f4fd38.jpg;640;640;Discoloration;309;250;434;270
frame9092_jpg.rf.ec57443ff45b99138ffcccf0a25c0328.jpg;640;640;Wheel;133;252;517;370
frame9092_jpg.rf.ec57443ff45b99138ffcccf0a25c0328.jpg;640;640;Shelling;147;290;258;346
frame9092_jpg.rf.ec57443ff45b99138ffcccf0a25c0328.jpg;640;640;Cracks-Scratches;436;254;478;265
frame9092_jpg.rf.ec57443ff45b99138ffcccf0a25c0328.jpg;640;640;Cracks-Scratches;429;273;482;281
frame6471_jpg.rf.f00f833514f184e45a4c645828756614.jpg;640;640;Wheel;289;123;370;538
frame6471_jpg.rf.f00f833514f184e45a4c645828756614.jpg;640;640;Shelling;330;386;361;520
frame6471_jpg.rf.f00f833514f184e45a4c645828756614.jpg;640;640;Cracks-Scratches;361;290;369;361
frame6469_jpg.rf.edf84c8819cac4880292bf59dc9deb06.jpg;640;640;Shelling;284;133;313;268
frame6469_jpg.rf.edf84c8819cac4880292bf59dc9deb06.jpg;640;640;Wheel;274;116;352;516
frame6469_jpg.rf.edf84c8819cac4880292bf59dc9deb06.jpg;640;640;Cracks-Scratches;278;252;283;316
frame5969_jpg.rf.f1c1039d9ca87358415a260cb1d7fe6f.jpg;640;640;Wheel;119;253;422;347
frame5969_jpg.rf.f1c1039d9ca87358415a260cb1d7fe6f.jpg;640;640;Shelling;352;268;393;295
frame5969_jpg.rf.f1c1039d9ca87358415a260cb1d7fe6f.jpg;640;640;Cracks-Scratches;347;262;375;270
frame9092_jpg.rf.f20afd5134e6380af57e2be481fbff7d.jpg;640;640;Wheel;272;127;359;518
frame9092_jpg.rf.f20afd5134e6380af57e2be481fbff7d.jpg;640;640;Shelling;275;146;303;263
frame9092_jpg.rf.f20afd5134e6380af57e2be481fbff7d.jpg;640;640;Cracks-Scratches;297;444;310;487
frame9092_jpg.rf.f20afd5134e6380af57e2be481fbff7d.jpg;640;640;Cracks-Scratches;313;434;327;487
frame9107_jpg.rf.eea0610572b9372142e5948c34b2a065.jpg;640;640;Wheel;205;288;515;374
frame9107_jpg.rf.eea0610572b9372142e5948c34b2a065.jpg;640;640;Shelling;249;338;295;356
frame7722_jpg.rf.ee16daee524845ca7669bd86cd1164af.jpg;640;640;Wheel;267;131;347;447
frame7722_jpg.rf.ee16daee524845ca7669bd86cd1164af.jpg;640;640;Shelling;285;338;321;439
frame7722_jpg.rf.ee16daee524845ca7669bd86cd1164af.jpg;640;640;Discoloration;310;274;331;338
frame5971_jpg.rf.f1fce0c81833c31785bee0fdbb9796d7.jpg;640;640;Wheel;293;115;389;430
frame5971_jpg.rf.f1fce0c81833c31785bee0fdbb9796d7.jpg;640;640;Shelling;357;349;381;425
frame5971_jpg.rf.f1fce0c81833c31785bee0fdbb9796d7.jpg;640;640;Cracks-Scratches;380;331;387;359
frame5981_jpg.rf.efe0c03c1831aae4d942899a574e480e.jpg;640;640;Wheel;158;298;527;404
frame5981_jpg.rf.efe0c03c1831aae4d942899a574e480e.jpg;640;640;Shelling;167;369;273;397
frame5981_jpg.rf.efe0c03c1831aae4d942899a574e480e.jpg;640;640;Cracks-Scratches;338;391;363;398
frame9104_jpg.rf.ef75fca3b4bc61870eed922f29fa3528.jpg;640;640;Wheel;278;132;353;379
frame9104_jpg.rf.ef75fca3b4bc61870eed922f29fa3528.jpg;640;640;Shelling;315;299;329;325
frame5978_jpg.rf.ef406964bb3171e70e71d1ea742658cc.jpg;640;640;Wheel;175;295;524;396
frame5978_jpg.rf.ef406964bb3171e70e71d1ea742658cc.jpg;640;640;Cracks-Scratches;310;386;345;394
frame5978_jpg.rf.ef406964bb3171e70e71d1ea742658cc.jpg;640;640;Shelling;181;354;275;387
frame9237_jpg.rf.eee0a2fdc4eff9ca87380191e106ca10.jpg;640;640;Wheel;377;276;505;336
frame5992_jpg.rf.ef7cfa1e1e9a15e343f89247d2e2b7a0.jpg;640;640;Wheel;54;276;527;428
